#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
57;Digital;algGVL.GPA_AI_ToHMI.V_ZPD.fault_common;=;TRUE;;;;;Warning;Виброскорость, задней подвески Д;t#0s;;;
58;Digital;algGVL.GPA_AI_ToHMI.dPtg_filtClean.fault_common;=;TRUE;;;;;Warning;dР топл. газа на фильтрах очистки;t#0s;;;
59;Digital;algGVL.GPA_AI_ToHMI.Ttg_izmDiaphr.fault_common;=;TRUE;;;;;Warning;Т топл. газа перед измерительной диафрагмой;t#0s;;;
60;Digital;algGVL.GPA_AI_ToHMI.dPtg_izmDiaphr.fault_common;=;TRUE;;;;;Warning;Перепад Р топл. газа на измерительной диафрагме;t#0s;;;
61;Digital;algGVL.GPA_AI_ToHMI.Ptg_inIzmDiaphr.fault_common;=;TRUE;;;;;Warning;Р топл. газа на входе измерительной диаафрагме;t#0s;;;
62;Digital;algGVL.GPA_AI_ToHMI.dP_Patm_fullPv_inGG.fault_common;=;TRUE;;;;;Warning;Перепад между Ратм.  и полным Рв на вх. в компрессор ГГ ;t#0s;;;
63;Digital;algGVL.GPA_AI_ToHMI.dP_Patm_statPv_inGG.fault_common;=;TRUE;;;;;Warning;Перепад между Ратм.  и статическим Рв на вх. в компрессор ГГ;t#0s;;;
64;Digital;algGVL.GPA_AI_ToHMI.Pv_razPolST.fault_common;=;TRUE;;;;;Warning;Р воздуха в разгрузочной полости СТ;t#0s;;;
65;Digital;algGVL.GPA_AI_ToHMI.Pg_bST.fault_common;=;TRUE;;;;;Warning;Полное Р газа за турбиной ГГ;t#0s;;;
66;Digital;algGVL.GPA_AI_ToHMI.dP_Patm_fullPg_bST.fault_common;=;TRUE;;;;;Warning;Перепад между атмосферным Р и полным Р газа за СТ;t#0s;;;
67;Digital;algGVL.GPA_AI_ToHMI.Pv_razPolGG.fault_common;=;TRUE;;;;;Warning;Р воздуха в разгрузочной полости компрессора ГГ;t#0s;;;
68;Digital;algGVL.GPA_AI_ToHMI.Patm.fault_common;=;TRUE;;;;;Warning;Атмосферное Р наружного воздуха;t#0s;;;
69;Digital;algGVL.GPA_AI_ToHMI.Pv_bGG.fault_common;=;TRUE;;;;;Warning;Полное давление воздуха за компрессором газогенератора;t#0s;;;
70;Digital;algGVL.GPA_AI_ToHMI.Ptg_inTRK.fault_common;=;TRUE;;;;;Warning;Давление топливного газа на входе в САУ (перед дозатором газа);t#0s;;;
71;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_10.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
72;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_11.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
73;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_12.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
74;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_13.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
75;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_14.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
76;Digital;algGVL.GPA_AI_ToHMI.Set_TRK.fault_common;=;TRUE;;;;;Warning;Задание положения дозатора;t#0s;;;
77;Digital;algGVL.GPA_AI_ToHMI.Set_VNA.fault_common;=;TRUE;;;;;Warning;Задание положения ВНА;t#0s;;;
78;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_15.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
79;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_16.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
80;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_17.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
81;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_18.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
82;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_19.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
83;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_20.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
84;Digital;algGVL.GPA_AI_ToHMI.Tw_inUTO.fault_common;=;TRUE;;;;;Warning;Т воды на входе теплообменника;t#0s;;;
85;Digital;algGVL.GPA_AI_ToHMI.Tw_outUTO.fault_common;=;TRUE;;;;;Warning;Т воды на выходе теплообменника;t#0s;;;
86;Digital;algGVL.GPA_AI_ToHMI.Tv_bayN.fault_common;=;TRUE;;;;;Warning;Т воздуха в отсеке Н;t#0s;;;
87;Digital;algGVL.GPA_AI_ToHMI.Tv_bayGTU.fault_common;=;TRUE;;;;;Warning;Т воздуха в отсеке ГТУ;t#0s;;;
88;Digital;algGVL.GPA_AI_ToHMI.Tv_bayBU.fault_common;=;TRUE;;;;;Warning;Т воздуха в отсеке БУ;t#0s;;;
89;Digital;algGVL.GPA_AI_ToHMI.Tv_OMA.fault_common;=;TRUE;;;;;Warning;Т воздуха в ОМА;t#0s;;;
90;Digital;algGVL.GPA_AI_ToHMI.Tv_OPT.fault_common;=;TRUE;;;;;Warning;Т воздуха в ОПТ;t#0s;;;
91;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_21.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
92;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_22.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
93;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_23.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
94;Digital;algGVL.GPA_AI_ToHMI.F_VOD1.fault_common;=;TRUE;;;;;Warning;Частота вращения вентилятора №1 обдува двигателя;t#0s;;;
